epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17529.3,1.32277,1.77727,1.49552,0.5963,0.52815,0.55717,0.36339,1.16555,1.46586,1.37989,0.00054113,0.00054113,0.00054113
43,17951,1.32627,1.79073,1.50123,0.57038,0.50387,0.52794,0.33575,1.25682,1.50002,1.42545,0.000538297,0.000538297,0.000538297
44,18370,1.31849,1.7485,1.48963,0.61377,0.53339,0.57131,0.38439,1.08039,1.43166,1.30951,0.000535405,0.000535405,0.000535405
45,18785.6,1.33205,1.77448,1.50098,0.61969,0.54279,0.58516,0.39576,1.08547,1.38528,1.32753,0.000532457,0.000532457,0.000532457
46,19197.7,1.29361,1.70647,1.47442,0.55153,0.53565,0.5476,0.37327,1.07861,1.44662,1.3171,0.000529451,0.000529451,0.000529451
47,19610.8,1.30755,1.7425,1.49158,0.60826,0.53691,0.5758,0.37371,1.17381,1.41118,1.36997,0.00052639,0.00052639,0.00052639
48,20029.2,1.31026,1.74499,1.48202,0.61974,0.54921,0.59695,0.4121,1.03882,1.34258,1.28124,0.000523274,0.000523274,0.000523274
49,20444.2,1.29426,1.68452,1.47283,0.63134,0.56196,0.60037,0.40862,1.02568,1.3501,1.28304,0.000520104,0.000520104,0.000520104
50,20857.4,1.28298,1.68399,1.46504,0.62066,0.55041,0.58841,0.3772,1.23737,1.38906,1.41957,0.00051688,0.00051688,0.00051688
51,21274.9,1.30605,1.68849,1.48577,0.64275,0.59255,0.63969,0.43946,1.03348,1.25202,1.28136,0.000513603,0.000513603,0.000513603
52,21694.4,1.28841,1.6791,1.4713,0.58839,0.55993,0.59102,0.39449,1.13183,1.37388,1.33019,0.000510275,0.000510275,0.000510275
53,22109.7,1.2698,1.67363,1.4613,0.64595,0.57219,0.62566,0.42709,1.09026,1.27241,1.31313,0.000506895,0.000506895,0.000506895
